brand,priceCurrency,price,Description,Colors,Stijlcode,title,photos_path
Reebok Classics,EUR,179.95,"Reebok SHAQ ATTAQ ""FTWWHT/CBLACK/GOLDMT""",Colour: Black / White / Gold,Stijlcode: 100032830,"Shaq Attaq ""Gold""","parser/sneakerbaas/Shaq Attaq ""Gold"""
Saucony,EUR,154.95,"Saucony Shadow 6000 ""Purple / Black""",Colour: Purple / Coral / Black,Stijlcode: S70784-1,"Shadow 6000 ""Purple / Black""","parser/sneakerbaas/Shadow 6000 ""Purple / Black"""
Reebok Classics,EUR,159.95,"Reebok PUMP TZ ""FTWWHT/CBLACK/SOACYE""",Colour: White / Black / Neon,Stijlcode: 100033132,"Pump TZ ""Neon""","parser/sneakerbaas/Pump TZ ""Neon"""
Clarks,EUR,269.95,"Clarks Wallabee Eden ""Dark Sand""",Beige / Cream,Stijlcode: 26173319,"Wallabee Eden ""Dark Sand""","parser/sneakerbaas/Wallabee Eden ""Dark Sand"""
Autry,EUR,179.95,"Autry Medalist Low M ""Leat Wht/Malachi""",Colour: Mint / White / Cream,Stijlcode: AULMWB30,"Medalist Low M ""Malachi""","parser/sneakerbaas/Medalist Low M ""Malachi"""
Autry,EUR,189.95,"Autry CLC Low M ""Mat Wht/Pbl""",Colour: White / Blue,Stijlcode: ROLMMM06,"CLC Low M ""Blue""","parser/sneakerbaas/CLC Low M ""Blue"""
Saucony,EUR,109.95,"Saucony Grid Shadow 2 OG ""Blue / White""",Colour: White / Blue / Black,Stijlcode: S70772-1,Grid Shadow 2 OG,parser/sneakerbaas/Grid Shadow 2 OG
Saucony,EUR,129.95,"Saucony Grid Shadow 2 ""Creek Marsh""",Colour: Green / Blue / White,Stijlcode: S70782-1,Grid Shadow 2,parser/sneakerbaas/Grid Shadow 2
PUMA Sportstyle,EUR,139.95,"Puma Slipstream Xtreme Color ""Yellow Sizzle""",Colour: White / Green / Yellow,Stijlcode: 394695-1,"Slipstream Xtreme ""Yellow""","parser/sneakerbaas/Slipstream Xtreme ""Yellow"""
Saucony Originals,EUR,144.95,"Saucony Shadow 5000 ""Forest""",Colour: Green / Cream / White,Stijlcode: S70778-1,"Shadow 5000 ""Forest""","parser/sneakerbaas/Shadow 5000 ""Forest"""
Autry,EUR,189.95,"Autry CLC Low M ""Mat Wht/Vi/Or""",Colour: Cream / Purple / Orange,Stijlcode: ROLMMM08,"CLC Low M ""Violet""","parser/sneakerbaas/CLC Low M ""Violet"""
Clarks,EUR,169.95,"Clarks Weaver ""Black Suede""",Colour: Black,Stijlcode: 26165081,"Weaver ""Black Suede""","parser/sneakerbaas/Weaver ""Black Suede"""
Sergio Tacchini,EUR,139.95,"Sergio Tacchini BB Court Lo ""Tibetan Red""",Colour: White / Red / Cream,Stijlcode: TSTU0004L-3502,"BB Court Lo ""Tibetan Red""","parser/sneakerbaas/BB Court Lo ""Tibetan Red"""
Saucony Originals,EUR,144.95,"Saucony Shadow 5000 ""Rust""",Colour: Orange / Grey / White,Stijlcode: S70778-2,"Shadow 5000 ""Rust""","parser/sneakerbaas/Shadow 5000 ""Rust"""
Autry,EUR,189.95,"Autry CLC Low M ""Mat Wht/Rd""",Colour: White / Red,Stijlcode: ROLMMM12,"CLC Low M ""Red""","parser/sneakerbaas/CLC Low M ""Red"""
Clarks,EUR,159.95,"Clarks Wallabee Mid ""Green""",Colour: Green,Stijlcode: 26173640,"Wallabee Mid ""Green""","parser/sneakerbaas/Wallabee Mid ""Green"""
Mizuno,EUR,149.95,"Mizuno Contender(U) ""Rgreen""",Colour: Green / White / Orange,Stijlcode: D1GA2369-03,"Contender ""RGreen""","parser/sneakerbaas/Contender ""RGreen"""
Autry,EUR,184.95,"Autry Medalist Low M ""Suede Bttl/Blue""",Colour: Green / Blue / Cream,Stijlcode: AULMSS17,"Medalist Low M ""Suede Bttl""","parser/sneakerbaas/Medalist Low M ""Suede Bttl"""
PUMA Sportstyle,EUR,139.95,"Puma Slipstream Xtreme Earth ""Sand Dune""",Colour: Grey / Beige,Stijlcode: 394696-1,"Slipstream Xtreme ""Sand Dune""","parser/sneakerbaas/Slipstream Xtreme ""Sand Dune"""
Clarks,EUR,169.95,"Clarks Weaver ""Cola""",Colour: Brown / Beige,Stijlcode: 26165082,"Weaver ""Cola""","parser/sneakerbaas/Weaver ""Cola"""
adidas Originals,EUR,119.95,"adidas Originals Handball Spezial ""Black / White""",Colour: Black / White,Stijlcode: DB3021,"Handball Spezial ""Black""","parser/sneakerbaas/Handball Spezial ""Black"""
Clarks,EUR,159.95,"Clarks Wallabee ""Beeswax""",Colour: Brown / Cream,Stijlcode: 26156605,"Wallabee ""Beeswax""","parser/sneakerbaas/Wallabee ""Beeswax"""
Saucony Originals,EUR,144.95,"Saucony Shadow 5000 ""Grey / Green""",Colour: Grey / Green / Pink,Stijlcode: S70779-2,"Shadow 5000 ""Grey / Green""","parser/sneakerbaas/Shadow 5000 ""Grey / Green"""
Karhu,EUR,69.99,"Karhu Legacy OG ""Purple""",Colour: White/Purple,Stylecode: F806001,"Legacy OG ""Purple""","parser/sneakerbaas/Legacy OG ""Purple"""
PUMA Sportstyle,EUR,139.95,"Puma Slipstream Xtreme Earth ""Cashew""",Colour: Beige / Green / Black,Stijlcode: 394696-2,"Slipstream Xtreme Earth ""Cashew""","parser/sneakerbaas/Slipstream Xtreme Earth ""Cashew"""
Reebok Classics,EUR,119.95,"Reebok CLUB C Bulc ""CBLACK/CBLACK/TEAYEL""",Colour: Black / Yellow,Stijlcode: 100034265,"Club C Bulc ""Teayel""","parser/sneakerbaas/Club C Bulc ""Teayel"""
Clarks,EUR,269.95,"Clarks Wallabee Eden ""Black""",Colour: Black / Cream,Stijlcode: 26173320,"Wallabee Eden ""Black""","parser/sneakerbaas/Wallabee Eden ""Black"""
Autry,EUR,179.95,"Autry Medalist Low M ""Leat Wht/Syrah""",Colour: Red / White,Stijlcode: AULMWB35,"Medalist Low ""Syrah""","parser/sneakerbaas/Medalist Low ""Syrah"""
Autry,EUR,189.95,"Autry CLC Low M ""Mat Wht/Blk""",Colour: White / Black / Cream,Stijlcode: ROLMMM04,"CLC Low M ""Black""","parser/sneakerbaas/CLC Low M ""Black"""
Reebok Classics,EUR,79.99,"Reebok Classics CLUB C REVENGE ""FTWWHT/VECNAV/RETGOL""",Colour: White/Creme/Orange/Blue,Stijlcode: 100033028,"CLUB C REVENGE ""RETGOL""","parser/sneakerbaas/CLUB C REVENGE ""RETGOL"""
Mizuno,EUR,159.95,"Mizuno Sky Medal ß ""Cloud / Gables""",Colour: Brown / Cream / Green,Stijlcode: D1GA238601,"Sky Medal ß ""Cloud / Gables""","parser/sneakerbaas/Sky Medal ß ""Cloud / Gables"""
KangaROOS,EUR,129.95,"KangaROOS AUSSIE ATHLUXE ""dove/white""",Colour: Grey / White,"Stijlcode: 
603000-000-2602","Aussie ""Dove""","parser/sneakerbaas/Aussie ""Dove"""
Nike,EUR,189.95,"Nike Air Max 95 ""Track Red""",Colour: Black / Grey / Red,Stijlcode: DM0011-007,"Air Max 95 ""Track Red""","parser/sneakerbaas/Air Max 95 ""Track Red"""
Sergio Tacchini,EUR,139.95,"Sergio Tacchini BB Court Lo ""Quiet Grey""",Colour: White / Grey,Stijlcode: TSTU0004L-3501,"BB Court Lo ""White""","parser/sneakerbaas/BB Court Lo ""White"""
Reebok Classics,EUR,119.95,"Reebok CLUB C Bulc ""FTWWHT/VARGRE/CHALK""",Colour: White / Green,Stijlcode: 100032937,"CLUB C Bulc ""Vargre""","parser/sneakerbaas/CLUB C Bulc ""Vargre"""
Reebok Classics,EUR,119.95,"Reebok CLUB C BULC ""FTWWHT/CLABUR/CHALK""",Colour: White / Red,Stijlcode: 100032938,"CLUB C Bulc ""Clabur""","parser/sneakerbaas/CLUB C Bulc ""Clabur"""
PUMA Sportstyle,EUR,139.95,"Puma Slipstream Xtreme Color ""Regal Red""",Colour: White / Blue / Red,Stijlcode: 394695-2,"Slipstream Xtreme ""Red""","parser/sneakerbaas/Slipstream Xtreme ""Red"""
Mizuno,EUR,159.95,"Mizuno Sky Medal ß ""Sand / Coffee""",Colour: Beige / Brown / Cream,Stijlcode: D1GA238603,"Sky Medal ß ""Sand""","parser/sneakerbaas/Sky Medal ß ""Sand"""
Mizuno,EUR,119.95,"Mizuno Contender x Rijksmuseum ""Melkmeisje""",Colour: Grey / Blue / White,Stijlcode: D1GD232201,Rijksmuseum ''Melkmeisje'',parser/sneakerbaas/Rijksmuseum ''Melkmeisje''
Autry,EUR,189.95,"Autry CLC Low M ""Mat Wht/Gr/Pk""",Colour: White / Green / Pink,Stijlcode: ROLMMM07,"CLC Low M ""Green""","parser/sneakerbaas/CLC Low M ""Green"""
Nike,EUR,99.99,"Nike Air Trainer ""White / Red""",Colour: White / Cream / Red,Stijlcode: DZ2547-100,"Air Trainer 1 ""Split""","parser/sneakerbaas/Air Trainer 1 ""Split"""
Reebok Classics,EUR,79.99,"Reebok Classics CLUB C REVENGE ""CHALK/CLAMAR/PUGRY3""",Colour: Creme/Beige/Red,Stijlcode: 100032877,"CLUB C REVENGE ""CLAMAR""","parser/sneakerbaas/CLUB C REVENGE ""CLAMAR"""
Autry,EUR,179.95,"Autry Medalist Low M ""Suede/Hair Space""",Colour: Black / White / Cream,Stijlcode: AULMSH03,"Medalist Low M ""Hair Space""","parser/sneakerbaas/Medalist Low M ""Hair Space"""
Saucony,EUR,144.95,"Saucony Shadow 5000 ""Yellow / Green""",Colour: Cream / Green / Red,Stijlcode: S70784-4,"Shadow 5000 ""Yellow / Green""","parser/sneakerbaas/Shadow 5000 ""Yellow / Green"""
